[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Analysis started at: 2023-08-14 02:58:31 AM
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | solc version: v0.4.24
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Range graph generated
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function proxy
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function fallback
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for deposit
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for deposit
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Range graph generated
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function deposit
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function onlyOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Range graph generated
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for Vault
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for Vault
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Range graph generated
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function Vault
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Return summary generated for transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Range graph generated
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Processed function transferOwner
[INFO] | 2023-08-14 02:58:31 AM | analyzer.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77 | Generating return summary for withdraw
