[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Analysis started at: 2023-08-14 02:57:12 AM
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Range graph generated
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Processed function fallback
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Generating return summary for redeem
[INFO] | 2023-08-14 02:57:12 AM | analyzer.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37 | Return summary generated for redeem
