[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Analysis started at: 2023-08-14 02:55:58 AM
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | solc version: v0.4.24
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Generating return summary for Constructor
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Return summary generated for Constructor
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Range graph generated
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Processed function Constructor
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Generating return summary for fallback
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Return summary generated for fallback
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Processed function fallback
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Generating return summary for onlyowner
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Return summary generated for onlyowner
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Processed function onlyowner
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Processed function withdraw
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Value Range Analysis took 0.000829 seconds
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Value Range Analysis finished
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Dependency detection started!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Dependency detection finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Static Analysis took 0.139141 seconds
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Dependency does not exist
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Analysis finished!
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Analysis took 0.139324 seconds
[INFO] | 2023-08-14 02:55:58 AM | analyzer.incorrect_constructor_name3 | Analysis finished at: 2023-08-14 02:55:58 AM
