[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Analysis started at: 2023-08-14 02:58:59 AM
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | solc version: v0.4.25
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for X_WALLET
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for X_WALLET
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function X_WALLET
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function AddMessage
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for Put
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for Put
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function Put
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for Collect
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for Collect
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function Collect
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Range graph generated
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Processed function fallback
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Value Range Analysis took 0.002058 seconds
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Dependency detection started!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Static Analysis took 0.272045 seconds
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Dependency does not exist
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Analysis finished!
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Analysis took 0.272227 seconds
[INFO] | 2023-08-14 02:58:59 AM | analyzer.0x93c32845fae42c83a70e5f06214c8433665c2ab5 | Analysis finished at: 2023-08-14 02:58:59 AM
