[INFO] | 2023-08-14 02:56:18 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Analysis started at: 2023-08-14 02:56:18 AM
[INFO] | 2023-08-14 02:56:19 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Version constraints: ['^0.4.11']
[INFO] | 2023-08-14 02:56:19 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | solc version: v0.4.11
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Callgraph generation started!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Value Range Analysis started
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Range graph generated
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Generating return summary for receiveApproval
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Return summary generated for receiveApproval
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Processed function receiveApproval
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Generating return summary for migrateFrom
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Return summary generated for migrateFrom
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Processed function migrateFrom
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Processed function balanceOf
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Generating return summary for allowance
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Return summary generated for allowance
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:20 AM | analyzer.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10 | Processed function allowance
