[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Analysis started at: 2023-08-14 02:58:48 AM
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | solc version: v0.4.19
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for SetMinSum
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for SetMinSum
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function SetMinSum
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for SetLogFile
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for SetLogFile
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function SetLogFile
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Generating return summary for Initialized
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Return summary generated for Initialized
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Range graph generated
[INFO] | 2023-08-14 02:58:48 AM | analyzer.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8 | Processed function Initialized
