[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Analysis started at: 2023-08-14 02:56:04 AM
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | solc version: v0.4.19
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Callgraph generation started!
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:04 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Value Range Analysis started
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for SetMinSum
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for SetMinSum
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function SetMinSum
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for SetLogFile
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for SetLogFile
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function SetLogFile
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for Initialized
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for Initialized
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function Initialized
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function AddMessage
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for Put
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for Put
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function Put
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Generating return summary for Collect
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Return summary generated for Collect
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Range graph generated
[INFO] | 2023-08-14 02:56:05 AM | analyzer.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b | Processed function Collect
