[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Analysis started at: 2023-08-14 02:54:27 AM
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | solc version: v0.4.19
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Callgraph generation started!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Value Range Analysis started
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for Private_Bank
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for Private_Bank
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Range graph generated
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function Private_Bank
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for fallback
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for fallback
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function fallback
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Range graph generated
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Range graph generated
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Processed function AddMessage
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:54:27 AM | analyzer.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12 | Range graph generated
