[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Analysis started at: 2023-08-14 02:54:59 AM
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Version constraints: ['^0.4.15']
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | solc version: v0.4.15
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Callgraph generation started!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Value Range Analysis started
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Generating return summary for bid
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Return summary generated for bid
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Range graph generated
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Processed function bid
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Value Range Analysis took 0.000402 seconds
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Value Range Analysis finished
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Dependency detection started!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | TOD dependency detected in file auction.sol in contract DosAuction in by composing functions bid and bid
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Dependency detection finished!
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Static Analysis took 0.163523 seconds
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Dependency exists
[INFO] | 2023-08-14 02:54:59 AM | analyzer.auction | Invoking symbolic executor!
[INFO] | 2023-08-14 02:55:00 AM | analyzer.auction | Symbolic execution took 0.839608 seconds
[INFO] | 2023-08-14 02:55:00 AM | analyzer.auction | Symbolic execution finished!
[INFO] | 2023-08-14 02:55:00 AM | analyzer.auction | Analysis finished!
[INFO] | 2023-08-14 02:55:00 AM | analyzer.auction | Analysis took 1.003520 seconds
[INFO] | 2023-08-14 02:55:00 AM | analyzer.auction | Analysis finished at: 2023-08-14 02:55:00 AM
