[INFO] | 2023-08-14 02:59:33 AM | analyzer.BECToken | Analysis started at: 2023-08-14 02:59:33 AM
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Version constraints: ['^0.4.16']
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | solc version: v0.4.16
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Callgraph generation started!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Value Range Analysis started
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for mul
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for mul
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function mul
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for div
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for div
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function div
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for sub
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for sub
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function sub
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for add
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for add
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function add
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function transfer
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Processed function balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:59:34 AM | analyzer.BECToken | Return summary generated for balanceOf
