[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Analysis started at: 2023-08-14 03:00:12 AM
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | solc version: v0.4.24
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Callgraph generation started!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Value Range Analysis started
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Generating return summary for fallback
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Return summary generated for fallback
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Range graph generated
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Processed function fallback
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Range graph generated
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:12 AM | analyzer.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27 | Processed function onlyOwner
