[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Analysis started at: 2023-08-14 02:58:44 AM
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | solc version: v0.4.23
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Callgraph generation started!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Value Range Analysis started
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Generating return summary for run
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Return summary generated for run
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Range graph generated
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Processed function run
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Range graph generated
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Value Range Analysis took 0.000703 seconds
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Dependency detection started!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Dependency detection finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Static Analysis took 0.084442 seconds
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Dependency does not exist
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Analysis finished!
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Analysis took 0.084584 seconds
[INFO] | 2023-08-14 02:58:44 AM | analyzer.integer_overflow_multitx_onefunc_feasible | Analysis finished at: 2023-08-14 02:58:44 AM
