[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Analysis started at: 2023-08-14 02:56:59 AM
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Version constraints: ['0.4.25']
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | solc version: v0.4.25
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Callgraph generation started!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Value Range Analysis started
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Generating return summary for add
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Return summary generated for add
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Range graph generated
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Processed function add
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Range graph generated
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Value Range Analysis took 0.000551 seconds
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Value Range Analysis finished
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Dependency detection started!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Dependency detection finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Static Analysis took 0.074942 seconds
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Dependency does not exist
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Analysis finished!
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Analysis took 0.075148 seconds
[INFO] | 2023-08-14 02:56:59 AM | analyzer.overflow_simple_add | Analysis finished at: 2023-08-14 02:56:59 AM
