[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Analysis started at: 2023-08-14 02:54:23 AM
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | solc version: v0.4.25
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Callgraph generation started!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Value Range Analysis started
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for MY_BANK
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for MY_BANK
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function MY_BANK
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function AddMessage
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for Put
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for Put
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function Put
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Generating return summary for Collect
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Return summary generated for Collect
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Range graph generated
[INFO] | 2023-08-14 02:54:23 AM | analyzer.0xf015c35649c82f5467c9c74b7f28ee67665aad68 | Processed function Collect
