[INFO] | 2023-08-14 02:57:10 AM | analyzer.modifier_reentrancy | Analysis started at: 2023-08-14 02:57:10 AM
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | solc version: v0.4.24
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Callgraph generation started!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Value Range Analysis started
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Range graph generated
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for hasNoBalance
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for hasNoBalance
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function hasNoBalance
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for airDrop
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for airDrop
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Range graph generated
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function airDrop
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Range graph generated
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function supportsToken
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Generating return summary for call
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Return summary generated for call
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Range graph generated
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Processed function call
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Value Range Analysis took 0.001932 seconds
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Dependency detection started!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | DAO dependency detected in file modifier_reentrancy.sol in contract ModifierEntrancy in by composing functions airDrop and airDrop
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Dependency detection finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Static Analysis took 0.282577 seconds
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Dependency exists
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Symbolic execution took 0.429636 seconds
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Analysis finished!
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Analysis took 0.712603 seconds
[INFO] | 2023-08-14 02:57:11 AM | analyzer.modifier_reentrancy | Analysis finished at: 2023-08-14 02:57:11 AM
