[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Analysis started at: 2023-08-14 02:59:41 AM
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | solc version: v0.4.19
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Callgraph generation started!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Value Range Analysis started
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for SetMinSum
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for SetMinSum
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function SetMinSum
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for SetLogFile
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for SetLogFile
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function SetLogFile
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for Initialized
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for Initialized
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function Initialized
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function AddMessage
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function Deposit
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for Collect
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for Collect
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function Collect
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Generating return summary for fallback
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Return summary generated for fallback
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Range graph generated
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Processed function fallback
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Value Range Analysis took 0.003951 seconds
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | Dependency detection started!
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | DAO dependency detected in file 0x561eac93c92360949ab1f1403323e6db345cbf31.sol in contract BANK_SAFE in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | DAO dependency detected in file 0x561eac93c92360949ab1f1403323e6db345cbf31.sol in contract BANK_SAFE in by composing functions Collect and Collect
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | TOD dependency detected in file 0x561eac93c92360949ab1f1403323e6db345cbf31.sol in contract BANK_SAFE in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 02:59:41 AM | analyzer.0x561eac93c92360949ab1f1403323e6db345cbf31 | TOD dependency detected in file 0x561eac93c92360949ab1f1403323e6db345cbf31.sol in contract BANK_SAFE in by composing functions Collect and Deposit
