[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Analysis started at: 2023-08-14 02:59:47 AM
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | solc version: v0.4.19
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Callgraph generation started!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis started
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for SetMinSum
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for SetMinSum
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function SetMinSum
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for SetLogFile
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for SetLogFile
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function SetLogFile
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Initialized
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Initialized
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Initialized
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function AddMessage
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Deposit
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for Collect
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for Collect
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function Collect
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Generating return summary for fallback
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Return summary generated for fallback
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Range graph generated
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Processed function fallback
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis took 0.002806 seconds
[INFO] | 2023-08-14 02:59:47 AM | analyzer.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1 | Value Range Analysis finished
