[INFO] | 2023-08-14 02:57:14 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Analysis started at: 2023-08-14 02:57:14 AM
[INFO] | 2023-08-14 02:57:14 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 02:57:14 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | solc version: v0.4.23
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Storage dependency graph generation started!
[WARNING] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Issues with getting the high level call destination address
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Generating return summary for tokens_buy
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | Return summary generated for tokens_buy
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x9d06cbafa865037a01d322d3f4222fa3e04e5488 | State variable assignement do not exist
