[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Analysis started at: 2023-08-14 02:57:29 AM
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for PrivateBank
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for PrivateBank
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Range graph generated
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function PrivateBank
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function fallback
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Range graph generated
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Range graph generated
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function AddMessage
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Range graph generated
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function Deposit
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Generating return summary for CashOut
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Return summary generated for CashOut
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Range graph generated
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Processed function CashOut
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Value Range Analysis took 0.002282 seconds
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Dependency detection started!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | DAO dependency detected in file 0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol in contract PrivateBank in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | TOD dependency detected in file 0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol in contract PrivateBank in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | TOD dependency detected in file 0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol in contract PrivateBank in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Dependency detection finished!
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Static Analysis took 0.291390 seconds
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Dependency exists
[INFO] | 2023-08-14 02:57:29 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:30 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Symbolic execution took 1.459002 seconds
[INFO] | 2023-08-14 02:57:30 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:30 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Analysis finished!
[INFO] | 2023-08-14 02:57:30 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Analysis took 1.750838 seconds
[INFO] | 2023-08-14 02:57:30 AM | analyzer.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4 | Analysis finished at: 2023-08-14 02:57:30 AM
