[INFO] | 2023-08-14 02:58:51 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Analysis started at: 2023-08-14 02:58:51 AM
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | solc version: v0.4.19
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Generating return summary for PrivateDeposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Return summary generated for PrivateDeposit
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Range graph generated
[INFO] | 2023-08-14 02:58:52 AM | analyzer.0x7a8721a9d64c74da899424c1b52acbf58ddc9782 | Processed function PrivateDeposit
