[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Analysis started at: 2023-08-14 02:58:40 AM
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | solc version: v0.4.19
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Callgraph generation started!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Value Range Analysis started
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Generating return summary for run
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Return summary generated for run
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Range graph generated
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Processed function run
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Range graph generated
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Value Range Analysis took 0.000496 seconds
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Dependency detection started!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Dependency detection finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Static Analysis took 0.067339 seconds
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Dependency does not exist
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Analysis finished!
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Analysis took 0.067486 seconds
[INFO] | 2023-08-14 02:58:40 AM | analyzer.integer_overflow_add | Analysis finished at: 2023-08-14 02:58:40 AM
