[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Analysis started at: 2023-08-14 02:57:31 AM
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Callgraph generation started!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Value Range Analysis started
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for shuffle
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for shuffle
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Range graph generated
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function shuffle
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for kill
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for kill
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function kill
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function fallback
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Range graph generated
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for CryptoRoulette
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for CryptoRoulette
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Range graph generated
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function CryptoRoulette
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Generating return summary for play
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Return summary generated for play
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Range graph generated
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Processed function play
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Value Range Analysis took 0.002264 seconds
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Dependency detection started!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | TOD dependency detected in file crypto_roulette.sol in contract CryptoRoulette in by composing functions play and play
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Dependency detection finished!
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Static Analysis took 0.322757 seconds
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Dependency exists
[INFO] | 2023-08-14 02:57:31 AM | analyzer.crypto_roulette | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:32 AM | analyzer.crypto_roulette | Symbolic execution took 0.842314 seconds
[INFO] | 2023-08-14 02:57:32 AM | analyzer.crypto_roulette | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:32 AM | analyzer.crypto_roulette | Analysis finished!
[INFO] | 2023-08-14 02:57:32 AM | analyzer.crypto_roulette | Analysis took 1.165455 seconds
[INFO] | 2023-08-14 02:57:32 AM | analyzer.crypto_roulette | Analysis finished at: 2023-08-14 02:57:32 AM
