[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Analysis started at: 2023-08-14 02:59:54 AM
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Version constraints: ['^0.4.18']
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | solc version: v0.4.18
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Callgraph generation started!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Value Range Analysis started
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Generating return summary for AirDropContract
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Return summary generated for AirDropContract
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Processed function AirDropContract
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Generating return summary for validAddress
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Return summary generated for validAddress
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Processed function validAddress
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Generating return summary for transfer
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Return summary generated for transfer
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Processed function transfer
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Value Range Analysis took 0.000695 seconds
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Dependency detection started!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Dependency detection finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Static Analysis took 0.281874 seconds
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Dependency does not exist
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Analysis finished!
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Analysis took 0.282058 seconds
[INFO] | 2023-08-14 02:59:54 AM | analyzer.0xa1fceeff3acc57d257b917e30c4df661401d6431 | Analysis finished at: 2023-08-14 02:59:54 AM
