[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Analysis started at: 2023-08-14 02:58:55 AM
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Version constraints: ['^0.4.13']
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | solc version: v0.4.13
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Generating return summary for transfer
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Return summary generated for transfer
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Processed function transfer
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Value Range Analysis took 0.000238 seconds
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Dependency detection started!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Static Analysis took 0.136111 seconds
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Dependency does not exist
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Analysis finished!
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Analysis took 0.136372 seconds
[INFO] | 2023-08-14 02:58:55 AM | analyzer.0x524960d55174d912768678d8c606b4d50b79d7b1 | Analysis finished at: 2023-08-14 02:58:55 AM
