[INFO] | 2023-08-14 02:57:06 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Analysis started at: 2023-08-14 02:57:06 AM
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for ETH_VAULT
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for ETH_VAULT
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Range graph generated
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function ETH_VAULT
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function fallback
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Range graph generated
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Range graph generated
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function AddMessage
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for Deposit
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for Deposit
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Range graph generated
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function Deposit
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Generating return summary for CashOut
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Return summary generated for CashOut
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Range graph generated
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Processed function CashOut
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Value Range Analysis took 0.002216 seconds
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:07 AM | analyzer.0x8c7777c45481dba411450c228cb692ac3d550344 | Storage dependency graph compostion finished!
