[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Analysis started at: 2023-08-14 03:00:09 AM
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | solc version: v0.4.19
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Callgraph generation started!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Value Range Analysis started
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for SetMinSum
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for SetMinSum
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function SetMinSum
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for SetLogFile
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for SetLogFile
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function SetLogFile
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for Initialized
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for Initialized
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function Initialized
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for AddMessage
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for AddMessage
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function AddMessage
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for Deposit
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for Deposit
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function Deposit
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for Collect
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for Collect
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function Collect
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Generating return summary for fallback
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Return summary generated for fallback
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Range graph generated
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Processed function fallback
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Value Range Analysis took 0.004896 seconds
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Value Range Analysis finished
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Dependency detection started!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | DAO dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | DAO dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and Collect
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | TOD dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | TOD dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and Deposit
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | TOD dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and Collect
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | TOD dependency detected in file 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol in contract PRIVATE_ETH_CELL in by composing functions Collect and fallback
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Dependency detection finished!
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Static Analysis took 0.454690 seconds
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Dependency exists
[INFO] | 2023-08-14 03:00:09 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Invoking symbolic executor!
[INFO] | 2023-08-14 03:00:11 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Symbolic execution took 1.662394 seconds
[INFO] | 2023-08-14 03:00:11 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Symbolic execution finished!
[INFO] | 2023-08-14 03:00:11 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Analysis finished!
[INFO] | 2023-08-14 03:00:11 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Analysis took 2.117513 seconds
[INFO] | 2023-08-14 03:00:11 AM | analyzer.0x4e73b32ed6c35f570686b89848e5f39f20ecc106 | Analysis finished at: 2023-08-14 03:00:11 AM
