[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Analysis started at: 2023-08-14 02:54:37 AM
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Version constraints: ['^0.4.9']
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | solc version: v0.4.9
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Callgraph generation started!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Value Range Analysis started
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for fallback
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for fallback
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function fallback
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for TownCrier
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for TownCrier
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function TownCrier
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for upgrade
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for upgrade
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function upgrade
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for reset
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for reset
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function reset
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for suspend
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for suspend
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function suspend
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for restart
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for restart
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function restart
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for withdraw
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for withdraw
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function withdraw
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for request
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for request
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function request
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for deliver
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for deliver
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function deliver
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for cancel
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for cancel
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function cancel
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Range graph generated
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Value Range Analysis took 0.008060 seconds
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Value Range Analysis finished
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:54:38 AM | analyzer.0x89c1b3807d4c67df034fffb62f3509561218d30b | Storage dependency graph compostion finished!
