[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Analysis started at: 2023-08-14 02:55:46 AM
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | solc version: v0.4.19
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Generating return summary for fallback
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Return summary generated for fallback
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Processed function fallback
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Generating return summary for GetPie
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Return summary generated for GetPie
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Processed function GetPie
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Range graph generated
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Processed function withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Generating return summary for Command
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Return summary generated for Command
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Processed function Command
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Range graph generated
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Value Range Analysis took 0.001168 seconds
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Value Range Analysis finished
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Dependency detection started!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | TOD dependency detected in file 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol in contract Pie in by composing functions GetPie and withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | TOD dependency detected in file 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol in contract Pie in by composing functions GetPie and withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | TOD dependency detected in file 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol in contract Pie in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | TOD dependency detected in file 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol in contract Pie in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Dependency detection finished!
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Static Analysis took 0.252138 seconds
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Dependency exists
[INFO] | 2023-08-14 02:55:46 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:55:47 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Symbolic execution took 0.846833 seconds
[INFO] | 2023-08-14 02:55:47 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Symbolic execution finished!
[INFO] | 2023-08-14 02:55:47 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Analysis finished!
[INFO] | 2023-08-14 02:55:47 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Analysis took 1.099498 seconds
[INFO] | 2023-08-14 02:55:47 AM | analyzer.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707 | Analysis finished at: 2023-08-14 02:55:47 AM
