[INFO] | 2023-08-14 02:57:04 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Analysis started at: 2023-08-14 02:57:04 AM
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Generating return summary for confirmOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Return summary generated for confirmOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Range graph generated
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Processed function confirmOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Range graph generated
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Processed function onlyOwner
[INFO] | 2023-08-14 02:57:05 AM | analyzer.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839 | Generating return summary for confirmOwner
