[INFO] | 2023-08-14 02:56:25 AM | analyzer.reentrancy_insecure | Analysis started at: 2023-08-14 02:56:25 AM
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Version constraints: ['^0.5.0']
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | solc version: v0.5.0
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Callgraph generation started!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Value Range Analysis started
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Generating return summary for withdrawBalance
[INFO] | 2023-08-14 02:56:26 AM | analyzer.reentrancy_insecure | Return summary generated for withdrawBalance
