[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Analysis started at: 2023-08-14 02:55:48 AM
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Version constraints: ['^0.4.11']
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | solc version: v0.4.11
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Callgraph generation started!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Value Range Analysis started
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Generating return summary for MyToken
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Return summary generated for MyToken
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Range graph generated
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Processed function MyToken
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Generating return summary for sendCoin
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Return summary generated for sendCoin
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Range graph generated
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Processed function sendCoin
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Generating return summary for getBalance
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Return summary generated for getBalance
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Processed function getBalance
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Value Range Analysis took 0.001118 seconds
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Value Range Analysis finished
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Dependency detection started!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Dependency detection finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Static Analysis took 0.173020 seconds
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Dependency does not exist
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Analysis finished!
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Analysis took 0.173224 seconds
[INFO] | 2023-08-14 02:55:48 AM | analyzer.short_address_example | Analysis finished at: 2023-08-14 02:55:48 AM
