[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis started at: 2023-08-14 02:58:41 AM
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | solc version: v0.4.19
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Callgraph generation started!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis started
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function fallback
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for GetFreebie
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for GetFreebie
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function GetFreebie
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Range graph generated
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for Command
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for Command
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function Command
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Range graph generated
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis took 0.001700 seconds
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency detection started!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | TOD dependency detected in file 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol in contract Honey in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | TOD dependency detected in file 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol in contract Honey in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | TOD dependency detected in file 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol in contract Honey in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | TOD dependency detected in file 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol in contract Honey in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency detection finished!
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Static Analysis took 0.256395 seconds
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Dependency exists
[INFO] | 2023-08-14 02:58:41 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Invoking symbolic executor!
[INFO] | 2023-08-14 02:58:42 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Symbolic execution took 0.846156 seconds
[INFO] | 2023-08-14 02:58:42 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Symbolic execution finished!
[INFO] | 2023-08-14 02:58:42 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis finished!
[INFO] | 2023-08-14 02:58:42 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis took 1.102954 seconds
[INFO] | 2023-08-14 02:58:42 AM | analyzer.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf | Analysis finished at: 2023-08-14 02:58:42 AM
