[INFO] | 2023-08-14 02:55:50 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Analysis started at: 2023-08-14 02:55:50 AM
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | solc version: v0.4.19
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Generating return summary for fallback
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Return summary generated for fallback
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:51 AM | analyzer.0xdb1c55f6926e7d847ddf8678905ad871a68199d2 | Processed function fallback
