[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Analysis started at: 2023-08-14 03:00:17 AM
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Version constraints: ['^0.4.15']
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | solc version: v0.4.15
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Callgraph generation started!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Value Range Analysis started
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Generating return summary for getBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Return summary generated for getBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Processed function getBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Generating return summary for addToBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Return summary generated for addToBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Range graph generated
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Processed function addToBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Generating return summary for withdrawBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Return summary generated for withdrawBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Range graph generated
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Processed function withdrawBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Value Range Analysis took 0.000946 seconds
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Value Range Analysis finished
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Storage dependency graph compostion started!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Dependency detection started!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | DAO dependency detected in file reentrancy_simple.sol in contract Reentrance in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | TOD dependency detected in file reentrancy_simple.sol in contract Reentrance in by composing functions withdrawBalance and addToBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | TOD dependency detected in file reentrancy_simple.sol in contract Reentrance in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Dependency detection finished!
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Static Analysis took 0.213642 seconds
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Dependency exists
[INFO] | 2023-08-14 03:00:17 AM | analyzer.reentrancy_simple | Invoking symbolic executor!
[INFO] | 2023-08-14 03:00:18 AM | analyzer.reentrancy_simple | Symbolic execution took 1.076209 seconds
[INFO] | 2023-08-14 03:00:18 AM | analyzer.reentrancy_simple | Symbolic execution finished!
[INFO] | 2023-08-14 03:00:18 AM | analyzer.reentrancy_simple | Analysis finished!
[INFO] | 2023-08-14 03:00:18 AM | analyzer.reentrancy_simple | Analysis took 1.290311 seconds
[INFO] | 2023-08-14 03:00:18 AM | analyzer.reentrancy_simple | Analysis finished at: 2023-08-14 03:00:18 AM
