[INFO] | 2023-08-14 03:00:15 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Analysis started at: 2023-08-14 03:00:15 AM
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Version constraints: ['^0.4.11']
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | solc version: v0.4.11
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Callgraph generation started!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Value Range Analysis started
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Range graph generated
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Generating return summary for Owned
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Return summary generated for Owned
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Range graph generated
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Processed function Owned
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 03:00:16 AM | analyzer.0xec329ffc97d75fe03428ae155fc7793431487f63 | Return summary generated for onlyOwner
