[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Analysis started at: 2023-08-14 02:58:57 AM
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Version constraints: ['^0.4.15']
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | solc version: v0.4.15
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Generating return summary for add
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Return summary generated for add
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Range graph generated
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Processed function add
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Range graph generated
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Value Range Analysis took 0.000510 seconds
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Dependency detection started!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Static Analysis took 0.069201 seconds
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Dependency does not exist
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Analysis finished!
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Analysis took 0.069370 seconds
[INFO] | 2023-08-14 02:58:57 AM | analyzer.integer_overflow_1 | Analysis finished at: 2023-08-14 02:58:57 AM
