[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Analysis started at: 2023-08-14 02:55:52 AM
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | solc version: v0.4.19
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for SetMinSum
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for SetMinSum
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function SetMinSum
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for SetLogFile
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for SetLogFile
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function SetLogFile
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for Initialized
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for Initialized
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function Initialized
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function AddMessage
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for Put
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for Put
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function Put
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for Collect
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for Collect
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function Collect
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Generating return summary for fallback
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Return summary generated for fallback
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Range graph generated
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Processed function fallback
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Value Range Analysis took 0.002724 seconds
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Value Range Analysis finished
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:55:52 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Dependency detection started!
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | DAO dependency detected in file 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol in contract MONEY_BOX in by composing functions Collect and SetLogFile
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | TOD dependency detected in file 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol in contract MONEY_BOX in by composing functions Collect and SetMinSum
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Dependency detection finished!
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Static Analysis took 0.364494 seconds
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Dependency exists
[INFO] | 2023-08-14 02:55:53 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Invoking symbolic executor!
[INFO] | 2023-08-14 02:55:54 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Symbolic execution took 1.362105 seconds
[INFO] | 2023-08-14 02:55:54 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Symbolic execution finished!
[INFO] | 2023-08-14 02:55:54 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Analysis finished!
[INFO] | 2023-08-14 02:55:54 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Analysis took 1.727004 seconds
[INFO] | 2023-08-14 02:55:54 AM | analyzer.0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888 | Analysis finished at: 2023-08-14 02:55:54 AM
