[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Analysis started at: 2023-08-14 02:58:58 AM
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | solc version: v0.4.25
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Generating return summary for U_BANK
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Return summary generated for U_BANK
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Range graph generated
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Processed function U_BANK
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:58 AM | analyzer.0x7541b76cb60f4c60af330c208b0623b7f54bf615 | Range graph generated
