[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Analysis started at: 2023-08-14 02:55:02 AM
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Version constraints: ['^0.4.11']
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | solc version: v0.4.11
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Generating return summary for init
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Return summary generated for init
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Range graph generated
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Processed function init
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Value Range Analysis took 0.000518 seconds
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Value Range Analysis finished
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Dependency detection started!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Dependency detection finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Static Analysis took 0.086512 seconds
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Dependency does not exist
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Analysis finished!
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Analysis took 0.086698 seconds
[INFO] | 2023-08-14 02:55:02 AM | analyzer.integer_overflow_mapping_sym_1 | Analysis finished at: 2023-08-14 02:55:02 AM
