[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Analysis started at: 2023-08-14 03:00:08 AM
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | solc version: v0.4.25
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Callgraph generation started!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Value Range Analysis started
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Generating return summary for ifillArray
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Return summary generated for ifillArray
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Range graph generated
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Processed function ifillArray
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Value Range Analysis took 0.000975 seconds
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Value Range Analysis finished
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Storage dependency graph compostion started!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Dependency detection started!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Dependency detection finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Static Analysis took 0.135005 seconds
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Dependency does not exist
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Symbolic execution is not needed!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Analysis finished!
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Analysis took 0.135184 seconds
[INFO] | 2023-08-14 03:00:08 AM | analyzer.dos_simple | Analysis finished at: 2023-08-14 03:00:08 AM
