[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Analysis started at: 2023-08-14 02:56:16 AM
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | solc version: v0.4.23
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Callgraph generation started!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Value Range Analysis started
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Generating return summary for constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Return summary generated for constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Range graph generated
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Processed function constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Generating return summary for newOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Return summary generated for newOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Range graph generated
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Processed function newOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Processed function onlyOwner
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Generating return summary for constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Return summary generated for constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Range graph generated
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Processed function constructor
[INFO] | 2023-08-14 02:56:16 AM | analyzer.multiowned_vulnerable | Generating return summary for newOwner
