[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis started at: 2023-08-14 02:59:55 AM
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | solc version: v0.4.19
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Callgraph generation started!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis started
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for ETH_VAULT
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for ETH_VAULT
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function ETH_VAULT
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for fallback
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for fallback
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function fallback
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function AddMessage
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for Deposit
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for Deposit
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function Deposit
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for CashOut
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for CashOut
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function CashOut
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis took 0.003699 seconds
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency detection started!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | DAO dependency detected in file 0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol in contract ETH_VAULT in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | TOD dependency detected in file 0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol in contract ETH_VAULT in by composing functions CashOut and Deposit
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | TOD dependency detected in file 0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol in contract ETH_VAULT in by composing functions CashOut and CashOut
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency detection finished!
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Static Analysis took 0.312668 seconds
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency exists
[INFO] | 2023-08-14 02:59:55 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Invoking symbolic executor!
[INFO] | 2023-08-14 02:59:57 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Symbolic execution took 1.476033 seconds
[INFO] | 2023-08-14 02:59:57 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Symbolic execution finished!
[INFO] | 2023-08-14 02:59:57 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis finished!
[INFO] | 2023-08-14 02:59:57 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis took 1.789130 seconds
[INFO] | 2023-08-14 02:59:57 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis finished at: 2023-08-14 02:59:57 AM
