[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Analysis started at: 2023-08-14 02:57:15 AM
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Range graph generated
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Processed function fallback
[INFO] | 2023-08-14 02:57:15 AM | analyzer.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2 | Generating return summary for redeem
