[INFO] | 2023-08-14 02:56:26 AM | analyzer.parity_wallet_bug_2 | Analysis started at: 2023-08-14 02:56:26 AM
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Version constraints: ['^0.4.9']
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | solc version: v0.4.9
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Callgraph generation started!
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Callgraph generation finished!
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Storage dependency graph generation started!
[WARNING] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Issues with getting the high level call destination address
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Value Range Analysis started
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for revoke
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for revoke
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function revoke
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for changeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for changeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function changeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for addOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for addOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function addOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for removeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for removeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function removeOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for changeRequirement
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for changeRequirement
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function changeRequirement
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for isOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for isOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function isOwner
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for hasConfirmed
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for hasConfirmed
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function hasConfirmed
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for setDailyLimit
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for setDailyLimit
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Processed function setDailyLimit
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Generating return summary for execute
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | Return summary generated for execute
[INFO] | 2023-08-14 02:56:27 AM | analyzer.parity_wallet_bug_2 | State variable assignement do not exist
