[INFO] | 2023-08-14 02:55:58 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Analysis started at: 2023-08-14 02:55:58 AM
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | solc version: v0.4.23
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Callgraph generation started!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Value Range Analysis started
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Processed function withdraw
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Generating return summary for getPuppetCount
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Return summary generated for getPuppetCount
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Processed function getPuppetCount
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Generating return summary for newPuppet
[INFO] | 2023-08-14 02:55:59 AM | analyzer.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6 | Return summary generated for newPuppet
