[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Analysis started at: 2023-08-14 02:59:35 AM
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | solc version: v0.4.24
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Callgraph generation started!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Value Range Analysis started
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Generating return summary for constructor
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Return summary generated for constructor
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Range graph generated
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Processed function constructor
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Generating return summary for forward
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Return summary generated for forward
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Processed function forward
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Value Range Analysis took 0.000525 seconds
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Dependency detection started!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Dependency detection finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Static Analysis took 0.120158 seconds
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Dependency does not exist
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Analysis finished!
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Analysis took 0.120317 seconds
[INFO] | 2023-08-14 02:59:35 AM | analyzer.proxy  | Analysis finished at: 2023-08-14 02:59:35 AM
