[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Analysis started at: 2023-08-14 02:57:00 AM
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Version constraints: ['^0.4.18']
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | solc version: v0.4.18
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Range graph generated
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Range graph generated
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Range graph generated
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Range graph generated
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function onlyOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Generating return summary for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Return summary generated for confirmOwner
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Range graph generated
[INFO] | 2023-08-14 02:57:00 AM | analyzer.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35 | Processed function confirmOwner
