[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Analysis started at: 2023-08-14 02:57:36 AM
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Callgraph generation started!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Value Range Analysis started
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Processed function fallback
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Generating return summary for GetFreebie
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Return summary generated for GetFreebie
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Processed function GetFreebie
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Generating return summary for withdraw
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Return summary generated for withdraw
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Range graph generated
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Processed function withdraw
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Generating return summary for Command
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Return summary generated for Command
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Processed function Command
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Range graph generated
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Value Range Analysis took 0.001357 seconds
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Dependency detection started!
[INFO] | 2023-08-14 02:57:36 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | TOD dependency detected in file 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol in contract WhaleGiveaway2 in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | TOD dependency detected in file 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol in contract WhaleGiveaway2 in by composing functions GetFreebie and withdraw
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | TOD dependency detected in file 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol in contract WhaleGiveaway2 in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | TOD dependency detected in file 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol in contract WhaleGiveaway2 in by composing functions Command and withdraw
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Dependency detection finished!
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Static Analysis took 0.257154 seconds
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Dependency exists
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Symbolic execution took 0.740438 seconds
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Analysis finished!
[INFO] | 2023-08-14 02:57:37 AM | analyzer.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e | Analysis took 0.998006 seconds
