[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Analysis started at: 2023-08-14 02:58:54 AM
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | solc version: v0.4.25
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for W_WALLET
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for W_WALLET
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function W_WALLET
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function AddMessage
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for Put
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for Put
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function Put
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for Collect
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for Collect
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function Collect
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Range graph generated
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Processed function fallback
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Value Range Analysis took 0.002197 seconds
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Dependency detection started!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Dependency detection finished!
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Static Analysis took 0.293356 seconds
[INFO] | 2023-08-14 02:58:54 AM | analyzer.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3 | Dependency does not exist
