[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Analysis started at: 2023-08-14 02:54:33 AM
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | solc version: v0.4.19
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Callgraph generation started!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Value Range Analysis started
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for PrivateBank
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for PrivateBank
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Range graph generated
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function PrivateBank
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for fallback
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for fallback
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function fallback
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Range graph generated
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Range graph generated
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function AddMessage
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for Deposit
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for Deposit
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Range graph generated
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function Deposit
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Generating return summary for CashOut
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Return summary generated for CashOut
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Range graph generated
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Processed function CashOut
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Value Range Analysis took 0.002532 seconds
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Value Range Analysis finished
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | Dependency detection started!
[INFO] | 2023-08-14 02:54:33 AM | analyzer.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e | DAO dependency detected in file 0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol in contract PrivateBank in by composing functions CashOut and CashOut
