[INFO] | 2023-08-14 02:58:19 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Analysis started at: 2023-08-14 02:58:19 AM
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | solc version: v0.4.24
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for constructor
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for constructor
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function constructor
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function fallback
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for donateForContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for donateForContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function donateForContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for getBetInfo
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for getBetInfo
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function getBetInfo
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for getContractBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for getContractBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function getContractBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for getCollateralBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for getCollateralBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function getCollateralBalance
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for payout
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for payout
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function payout
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for sendRefund
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for sendRefund
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Range graph generated
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function sendRefund
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for sendFunds
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for sendFunds
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function sendFunds
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for loseWager
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for loseWager
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function loseWager
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for clearProcessedBet
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for clearProcessedBet
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function clearProcessedBet
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for onlyOwner
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function onlyOwner
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for checkContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for checkContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Processed function checkContractHealth
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Generating return summary for onlyBot
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | Return summary generated for onlyBot
[INFO] | 2023-08-14 02:58:20 AM | analyzer.0xe09b1ab8111c2729a76f16de96bc86a7af837928 | State variable assignement do not exist
