[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Analysis started at: 2023-08-14 02:59:45 AM
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | solc version: v0.4.24
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Callgraph generation started!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Value Range Analysis started
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Generating return summary for constructor
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Return summary generated for constructor
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Processed function constructor
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Generating return summary for lockInGuess
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Return summary generated for lockInGuess
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Range graph generated
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Processed function lockInGuess
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Generating return summary for settle
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Return summary generated for settle
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Range graph generated
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Processed function settle
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Value Range Analysis took 0.001398 seconds
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Dependency detection started!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | TOD dependency detected in file old_blockhash.sol in contract PredictTheBlockHashChallenge in by composing functions settle and lockInGuess
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | TOD dependency detected in file old_blockhash.sol in contract PredictTheBlockHashChallenge in by composing functions settle and settle
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Dependency detection finished!
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Static Analysis took 0.350880 seconds
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Dependency exists
[INFO] | 2023-08-14 02:59:45 AM | analyzer.old_blockhash | Invoking symbolic executor!
[INFO] | 2023-08-14 02:59:46 AM | analyzer.old_blockhash | Symbolic execution took 1.243492 seconds
[INFO] | 2023-08-14 02:59:46 AM | analyzer.old_blockhash | Symbolic execution finished!
[INFO] | 2023-08-14 02:59:46 AM | analyzer.old_blockhash | Analysis finished!
[INFO] | 2023-08-14 02:59:46 AM | analyzer.old_blockhash | Analysis took 1.594837 seconds
[INFO] | 2023-08-14 02:59:46 AM | analyzer.old_blockhash | Analysis finished at: 2023-08-14 02:59:46 AM
