[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Analysis started at: 2023-08-14 02:57:17 AM
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | solc version: v0.4.25
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Callgraph generation started!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Value Range Analysis started
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Generating return summary for constructor
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Return summary generated for constructor
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Processed function constructor
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Range graph generated
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Processed function fallback
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Value Range Analysis took 0.000557 seconds
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Value Range Analysis finished
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Dependency detection started!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | TOD dependency detected in file roulette.sol in contract Roulette in by composing functions fallback and fallback
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Dependency detection finished!
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Static Analysis took 0.177350 seconds
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Dependency exists
[INFO] | 2023-08-14 02:57:17 AM | analyzer.roulette | Invoking symbolic executor!
[INFO] | 2023-08-14 02:57:18 AM | analyzer.roulette | Symbolic execution took 0.845306 seconds
[INFO] | 2023-08-14 02:57:18 AM | analyzer.roulette | Symbolic execution finished!
[INFO] | 2023-08-14 02:57:18 AM | analyzer.roulette | Analysis finished!
[INFO] | 2023-08-14 02:57:18 AM | analyzer.roulette | Analysis took 1.023082 seconds
[INFO] | 2023-08-14 02:57:18 AM | analyzer.roulette | Analysis finished at: 2023-08-14 02:57:18 AM
