[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Analysis started at: 2023-08-14 02:58:29 AM
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | solc version: v0.4.24
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Callgraph generation started!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Value Range Analysis started
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Generating return summary for constructor
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Return summary generated for constructor
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Range graph generated
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Processed function constructor
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Generating return summary for deposit
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Return summary generated for deposit
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Range graph generated
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Processed function deposit
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Generating return summary for withdraw
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Return summary generated for withdraw
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Range graph generated
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Processed function withdraw
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Generating return summary for refund
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Return summary generated for refund
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Processed function refund
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Generating return summary for migrateTo
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Return summary generated for migrateTo
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | State variable assignement do not exist
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Processed function migrateTo
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Value Range Analysis took 0.001412 seconds
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Value Range Analysis finished
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Dependency detection started!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | TOD dependency detected in file wallet_02_refund_nosub.sol in contract Wallet in by composing functions withdraw and deposit
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | TOD dependency detected in file wallet_02_refund_nosub.sol in contract Wallet in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | TOD dependency detected in file wallet_02_refund_nosub.sol in contract Wallet in by composing functions refund and deposit
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | TOD dependency detected in file wallet_02_refund_nosub.sol in contract Wallet in by composing functions refund and withdraw
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Dependency detection finished!
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Static Analysis took 0.293638 seconds
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Dependency exists
[INFO] | 2023-08-14 02:58:29 AM | analyzer.wallet_02_refund_nosub | Invoking symbolic executor!
[INFO] | 2023-08-14 02:58:30 AM | analyzer.wallet_02_refund_nosub | Symbolic execution took 0.847380 seconds
[INFO] | 2023-08-14 02:58:30 AM | analyzer.wallet_02_refund_nosub | Symbolic execution finished!
[INFO] | 2023-08-14 02:58:30 AM | analyzer.wallet_02_refund_nosub | Analysis finished!
[INFO] | 2023-08-14 02:58:30 AM | analyzer.wallet_02_refund_nosub | Analysis took 1.141493 seconds
[INFO] | 2023-08-14 02:58:30 AM | analyzer.wallet_02_refund_nosub | Analysis finished at: 2023-08-14 02:58:30 AM
