[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Analysis started at: 2023-08-14 02:59:53 AM
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | solc version: v0.4.25
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Callgraph generation started!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Value Range Analysis started
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Generating return summary for random
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Return summary generated for random
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Processed function random
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Range graph generated
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Value Range Analysis took 0.000604 seconds
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Dependency detection started!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Dependency detection finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Static Analysis took 0.155679 seconds
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Dependency does not exist
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Symbolic execution is not needed!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Analysis finished!
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Analysis took 0.155858 seconds
[INFO] | 2023-08-14 02:59:53 AM | analyzer.random_number_generator | Analysis finished at: 2023-08-14 02:59:53 AM
