[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Analysis started at: 2023-08-14 03:00:13 AM
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Version constraints: ['^0.4.18']
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | solc version: v0.4.18
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Callgraph generation started!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Value Range Analysis started
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Generating return summary for donate
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Return summary generated for donate
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Range graph generated
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Processed function donate
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Generating return summary for balanceOf
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Return summary generated for balanceOf
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Processed function balanceOf
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Generating return summary for withdraw
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Return summary generated for withdraw
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Range graph generated
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Processed function withdraw
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Generating return summary for fallback
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Return summary generated for fallback
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Processed function fallback
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Value Range Analysis took 0.001557 seconds
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Value Range Analysis finished
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Storage dependency graph compostion started!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Dependency detection started!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | DAO dependency detected in file reentrance.sol in contract Reentrance in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | TOD dependency detected in file reentrance.sol in contract Reentrance in by composing functions withdraw and donate
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | TOD dependency detected in file reentrance.sol in contract Reentrance in by composing functions withdraw and withdraw
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Dependency detection finished!
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Static Analysis took 0.203237 seconds
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Dependency exists
[INFO] | 2023-08-14 03:00:13 AM | analyzer.reentrance | Invoking symbolic executor!
[INFO] | 2023-08-14 03:00:15 AM | analyzer.reentrance | Symbolic execution took 1.367345 seconds
[INFO] | 2023-08-14 03:00:15 AM | analyzer.reentrance | Symbolic execution finished!
[INFO] | 2023-08-14 03:00:15 AM | analyzer.reentrance | Analysis finished!
[INFO] | 2023-08-14 03:00:15 AM | analyzer.reentrance | Analysis took 1.571113 seconds
[INFO] | 2023-08-14 03:00:15 AM | analyzer.reentrance | Analysis finished at: 2023-08-14 03:00:15 AM
