[INFO] | 2023-08-14 02:54:36 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Analysis started at: 2023-08-14 02:54:36 AM
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Version constraints: ['^0.4.18']
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | solc version: v0.4.18
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Callgraph generation started!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Value Range Analysis started
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Generating return summary for confirmOwner
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Return summary generated for confirmOwner
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Range graph generated
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Processed function confirmOwner
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Range graph generated
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Generating return summary for onlyOwner
[INFO] | 2023-08-14 02:54:37 AM | analyzer.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01 | Return summary generated for onlyOwner
