[INFO] | 2023-08-14 03:00:03 AM | analyzer.open_address_lottery | Analysis started at: 2023-08-14 03:00:03 AM
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | solc version: v0.4.19
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Callgraph generation started!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Value Range Analysis started
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Generating return summary for luckyNumberOfAddress
[WARNING] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Return summary generated for luckyNumberOfAddress
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Processed function luckyNumberOfAddress
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Generating return summary for reseed
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Return summary generated for reseed
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Range graph generated
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Processed function reseed
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Generating return summary for kill
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Return summary generated for kill
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Processed function kill
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Range graph generated
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Generating return summary for participate
[INFO] | 2023-08-14 03:00:04 AM | analyzer.open_address_lottery | Return summary generated for participate
