[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Analysis started at: 2023-08-14 03:00:07 AM
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | solc version: v0.4.23
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Callgraph generation started!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Callgraph generation finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Interprocedural CFG generation started!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Storage dependency graph generation started!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Storage dependency graph generation finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Value Range Analysis started
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for overflowaddtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for overflowaddtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Range graph generated
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function overflowaddtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for overflowmultostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for overflowmultostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Range graph generated
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function overflowmultostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for underflowtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for underflowtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Range graph generated
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function underflowtostate
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for overflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for overflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function overflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for overflowmulocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for overflowmulocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function overflowmulocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for underflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for underflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | State variable assignement do not exist
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function underflowlocalonly
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Range graph generated
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Value Range Analysis took 0.002384 seconds
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Value Range Analysis finished
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Storage dependency graph compostion started!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Dependency detection started!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Dependency detection finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Static Analysis took 0.111503 seconds
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Dependency does not exist
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Symbolic execution is not needed!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Analysis finished!
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Analysis took 0.111695 seconds
[INFO] | 2023-08-14 03:00:07 AM | analyzer.overflow_single_tx | Analysis finished at: 2023-08-14 03:00:07 AM
