[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Analysis started at: 2023-08-14 02:59:32 AM
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Version constraints: ['^0.4.25']
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | solc version: v0.4.25
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Callgraph generation started!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Value Range Analysis started
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for WALLET
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for WALLET
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function WALLET
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for AddMessage
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for AddMessage
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function AddMessage
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for Put
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for Put
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function Put
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for Collect
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for Collect
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function Collect
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Generating return summary for fallback
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Return summary generated for fallback
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Range graph generated
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Processed function fallback
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Value Range Analysis took 0.002779 seconds
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Storage dependency graph compostion started!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Storage dependency graph compostion finished!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Dependency detection started!
[INFO] | 2023-08-14 02:59:32 AM | analyzer.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e | Dependency detection finished!
