[INFO] | 2023-08-14 02:55:03 AM | analyzer.spank_chain_payment | Analysis started at: 2023-08-14 02:55:03 AM
[INFO] | 2023-08-14 02:55:06 AM | analyzer.spank_chain_payment | Version constraints: ['^0.4.23']
[INFO] | 2023-08-14 02:55:06 AM | analyzer.spank_chain_payment | solc version: v0.4.23
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Callgraph generation started!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Callgraph generation finished!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Value Range Analysis started
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Range graph generated
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function slitherConstructorConstantVariables
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for transferFrom
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for transferFrom
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function transferFrom
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for approve
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for approve
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function approve
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for allowance
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for allowance
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function allowance
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for parseInt16Char
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for parseInt16Char
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function parseInt16Char
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for uintToBytes32
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for uintToBytes32
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function uintToBytes32
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for uintToString
[WARNING] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for uintToString
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function uintToString
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for substring
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for substring
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function substring
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function balanceOf
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function transfer
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Generating return summary for transferFrom
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Return summary generated for transferFrom
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | State variable assignement do not exist
[INFO] | 2023-08-14 02:55:07 AM | analyzer.spank_chain_payment | Processed function transferFrom
