[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Analysis started at: 2023-08-14 02:57:23 AM
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for transfer
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for transfer
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function transfer
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for balanceOf
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for balanceOf
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function balanceOf
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for EtherGet
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for EtherGet
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Range graph generated
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function EtherGet
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for withdrawEther
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for withdrawEther
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Processed function withdrawEther
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Generating return summary for getTokens
[INFO] | 2023-08-14 02:57:23 AM | analyzer.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984 | Return summary generated for getTokens
